4.14982,-17.24234,6.30051,2.11231,10.36748,0.34854
1.67814,-18.32846,4.98745,2.14926,4.21489,0.39739
2.29298,-18.68363,7.52733,3.17906,5.05153,0.44074
2.32105,-19.99559,7.53612,2.85276,5.20756,0.42434
1.99012,-21.27392,7.42641,3.71039,5.41143,0.39241
2.20618,-20.40762,5.87953,2.66616,4.8039,0.48504
3.67811,-14.99071,5.68034,2.55025,8.82096,0.53077
2.38974,-17.00916,6.74054,2.43619,6.10031,0.47575
2.22048,-16.03647,9.30002,2.71904,4.75441,0.45488
4.25656,-23.50223,4.59453,2.48248,9.68475,0.35776
2.5462,-17.91585,8.92931,3.16828,7.0032,0.48604
2.59299,-20.03032,6.40096,1.87646,7.95309,0.47016
2.10239,-23.45116,6.76127,2.18021,6.22233,0.46986
2.88143,-17.12985,5.28016,2.09915,7.67753,0.3973
2.60397,-14.42732,5.04735,3.26343,7.80626,0.46186
2.34831,-25.29035,5.64431,2.1705,7.87245,0.43544
2.45635,-22.80778,7.16322,2.58565,7.76329,0.43665
2.54965,-19.75011,7.84344,2.12067,8.86217,0.4637
2.33836,-22.41152,9.05441,1.51363,8.54225,0.45146
3.11342,-16.57721,6.47016,1.4804,9.10334,0.45843
2.23972,-30.9767,11.28671,0.49632,4.81457,0.49613
2.11501,-34.78653,10.74933,0.31307,3.9741,0.50068
2.57643,-23.68594,4.52796,1.26846,5.86284,0.40146
2.46696,-20.93876,7.58569,0.88972,8.69339,0.44386
2.07521,-24.39967,5.00229,2.00402,5.54321,0.45927
2.23191,-24.94718,6.58696,2.11214,6.44747,0.46317
2.33643,-25.52964,8.3084,1.07868,8.05385,0.45981
2.3824,-24.91552,8.69783,1.06378,7.74991,0.45533
2.30832,-22.43138,9.54346,1.16319,8.29857,0.44726
2.17945,-24.96525,8.3629,1.24,8.33718,0.43003
2.10654,-25.88783,8.68813,0.82404,8.2375,0.45623
2.11499,-32.42177,8.70113,0.6152,5.53704,0.49131
2.18355,-28.4085,10.4529,0.36386,7.69665,0.47934
2.39993,-19.92504,12.14444,0.98368,8.05538,0.48822
2.40974,-21.8615,13.13566,0.53201,6.75214,0.50342
3.04974,-17.4438,14.23047,0.24187,7.80143,0.49473
2.03135,-20.76496,12.03928,0.34869,8.82072,0.49016
2.21305,-27.74627,6.90711,0.76015,4.67363,0.49099
2.08953,-27.351,5.24456,1.8569,6.40785,0.42524
2.07969,-23.43431,5.15343,2.36158,7.19285,0.43308
1.63021,-29.18733,4.83611,2.59497,4.83571,0.4089
2.13653,-23.33921,4.52001,0.72649,8.33368,0.46919
2.35615,-23.87156,5.19001,2.09776,7.53874,0.43653
2.20394,-28.90384,6.00389,1.55961,6.35817,0.46829
2.43715,-22.45256,8.46656,1.45485,8.03006,0.4607
2.22232,-28.15905,8.11979,1.40238,6.95619,0.45839
2.28132,-25.5895,8.0454,1.11483,8.13111,0.46666
2.239,-24.6399,9.02026,1.69894,7.17988,0.46468
2.20109,-26.96878,8.58285,1.15564,6.33642,0.46931
2.25386,-26.53101,8.99701,0.96079,5.54175,0.48562
2.28139,-23.67713,10.42545,0.93998,5.92362,0.51045
2.20116,-22.84471,10.58037,1.1565,7.54509,0.50134
2.11917,-25.18933,10.13266,0.81257,6.32029,0.50732
2.59928,-21.23426,11.44223,0.52687,6.62236,0.50929
2.3873,-24.05149,12.22514,0.65152,5.56312,0.52012
2.14213,-26.69401,13.14984,0.1612,6.47869,0.48855
1.91271,-22.21419,4.45677,4.44135,5.55502,0.33813
1.89267,-24.70734,6.14477,3.83373,7.02926,0.48522
1.7823,-25.0908,4.62951,2.45102,6.11737,0.38634
