prename,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact,postname,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact,,,0     Crest        -0.037829  0.038366
LESgen,2.167237487,-24.41873759,11.10567342,1.417887898,7.867530115,0.406783142,LESgen,2.456656887,-27.85829766,8.494789494,2.872492285,8.891842644,0.423182581,,,
LIPeli,2.116465767,-26.43210603,7.769008356,3.468152256,5.837126256,0.446818399,LIPeli,2.181515359,-23.0416153,7.817014909,5.33846331,5.40121865,0.472986895,,,
MAIant,2.180922299,-27.73362227,8.617556409,4.392019942,5.881655988,0.470397602,MAIant,1.976877235,-34.0330817,7.117602135,5.596576313,4.827201028,0.484759767,,,
MARjea,2.045417496,-29.03762519,6.725692092,5.037399815,5.947433854,0.43718501,MARjea,2.019177499,-29.13046199,8.053420132,4.079139718,4.949337993,0.458255314,,,
MASmic,2.039054233,-27.70064456,9.449034063,1.880165799,6.090022062,0.418763431,MASmic,2.10922511,-28.08450641,10.09984586,1.393684844,7.548653741,0.41596328,,,
MOHnad,2.590513993,-23.82112273,11.42619619,1.491807844,5.692378504,0.410890324,MOHnad,2.450536779,-25.34898842,10.29496696,1.523526512,4.528385787,0.398362394,,,
MORcol,1.948177939,-26.33992634,9.497590455,2.497113829,6.591826737,0.414741917,MORcol,1.868419953,-29.10070267,8.374011356,3.520546661,5.235845494,0.438601683,,,
PERcar,2.166935466,-26.59877939,7.856060135,1.682452595,7.447265831,0.431717229,PERcar,2.488452726,-26.08434528,6.807140494,1.172072803,8.042411707,0.45212395,,,
PERmau,1.906488919,-35.29222767,7.263836928,3.885807088,3.385533762,0.43918824,PERmau,1.938785264,-35.47991748,7.159953294,3.881747757,3.48454804,0.424246723,,,
PHIjul,2.10848367,-31.66369486,8.950291908,3.250541571,7.876537034,0.393004833,PHIjul,2.214250097,-32.07327033,8.425603545,3.608178872,6.678239425,0.403564953,,,
POLmar,1.849480006,-27.39926668,9.283011505,6.572387574,6.56763323,0.60515363,POLmar,1.833508348,-25.83180714,9.274260047,5.080390757,6.991886323,0.439209777,,,
PUGluc,2.226925765,-27.60705938,6.752522027,1.913587136,5.086790084,0.38134977,PUGluc,1.924129302,-26.01728996,9.780531722,2.224299438,5.815241219,0.401747617,,,
REHkar,2.073236473,-25.95232167,9.761620334,3.010722787,5.937530315,0.423568133,REHkar,2.03391647,-26.89922691,9.99013871,2.58994706,6.336934316,0.405909538,,,
RIUpat,2.116298692,-35.20377723,8.229220855,4.373847657,5.46653589,0.451320282,RIUpat,2.103496517,-34.33147711,9.016796213,3.987560743,5.74180929,0.435623253,,,
ROUpat,2.041643044,-32.45433083,10.74902305,2.334059337,6.226612703,0.431046258,ROUpat,2.087134598,-28.40784444,10.13264512,1.640299535,4.815945834,0.442292413,,,
SACmar,2.279851093,-24.08635374,10.20738108,5.595334995,8.754136883,0.443974,SACmar,2.365207102,-23.52467983,9.589385867,4.823718471,7.200722052,0.440579827,,,
SILmar,1.876176792,-33.07996255,8.426372232,3.856830627,5.191448642,0.435184297,SILmar,1.946329081,-28.01119452,9.093021926,3.9982407,4.635619352,0.433809745,,,
SOUcha,2.099265146,-22.91145642,10.24658073,4.935642127,6.145167239,0.513787312,SOUcha,2.316398191,-24.95049502,9.705011532,4.926724826,5.776386978,0.510008005,,,
STRdan,2.05161566,-23.98322089,8.008221401,2.53654979,4.705492648,0.441861401,STRdan,2.068984531,-22.36827796,7.911983929,2.746029327,5.280003862,0.441226109,,,
TRUmic,2.058661179,-28.10384474,7.284044582,2.47743883,6.466336679,0.380209065,TRUmic,1.967342039,-29.06330504,6.538254524,3.325053044,6.392177856,0.397088274,,,
VEIcla,2.270271115,-25.49651389,8.601386979,3.372786431,7.389935165,0.416700038,VEIcla,2.107330346,-27.51293547,8.259612534,5.33410201,6.683347193,0.476134364,,,
VIAjea,2.023250694,-27.27545257,6.476818867,3.953111444,4.326760442,0.431959018,VIAjea,1.953402059,-28.88508428,6.34952542,4.421179047,5.43957785,0.464754068,,,
ZITjos,2.531646642,-27.01012991,9.153642134,1.0628338,8.947739756,0.395602195,ZITjos,2.487784395,-28.73520725,8.727886606,1.398019977,8.356442835,0.383096882,,,
