prename,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact,postname,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact
CHAann,-30.513054413105024,8.173117388857467,2.966972754242723,5.764537070553501,0.4264023023462809,1.2983812307250417,CHAann,-29.929129248651705,8.047204270123462,3.2322298004175485,5.336888402091674,0.40905013646907523,1.299559098619783
CHAfra,-30.658486223426078,7.8456684237932475,2.9185066240165707,8.269762039244652,0.38535630377963614,1.7142250579509475,CHAfra,-30.986167952530916,7.8954133628201,2.614264017952219,7.131401536497,0.38262328062668965,1.59199147081293
CHAhel,-30.75999451339841,7.963150891651268,2.2493671626675322,5.447340959530001,0.3826167701690501,1.8025496934819445,CHAhel,-27.661919563300092,6.800121792031612,3.1296467364953386,6.725338543166738,0.386081245458621,1.6436416347110234
CHAmar,-21.583386303953024,6.744102513790904,4.618528247741782,5.846499561406657,0.4659115295947912,1.4447457306183045,CHAmar,-28.617088718869354,6.660195979093456,5.190897666458593,5.602830760921706,0.4523028621631316,1.2915915921712393
CHOrac,-29.405201963952372,6.440971694419554,4.666516829519769,6.558472977672912,0.3899920042664625,1.6683726899991778,CHOrac,-31.225844669458315,5.619539437526883,4.952345017810508,4.838365632195071,0.4553153777778808,1.3410050687922426
COMste,-28.33853779640337,5.783773038369023,4.4985350307376875,4.594264136696481,0.45208009696145973,1.783478559465394,COMste,-30.69146866568116,7.595447710335752,3.124188594970898,5.907657484707827,0.41752158699737346,1.4212574624890886
COTnad,-26.83751173086912,7.3746822578683595,5.413897110036745,5.363398596603662,0.46946263243846115,1.382130775042884,COTnad,-28.58257374665862,7.348983068279733,5.254117571363099,5.652478236946932,0.4697053940938317,1.4173971189219001
DELeli,-27.22629824720204,7.155251913961283,2.229319045893116,3.77546016559187,0.42760300148729186,1.0408282097521153,DELeli,-25.6816488771112,7.408483105292356,2.5491100511977076,3.356337572593753,0.44856939635929344,1.0339039731828894
DREflo,-19.27445188715155,6.254826955383443,1.6135866991456158,5.457939466674696,0.3929167911761507,1.7243895269270824,DREflo,-24.53358569732262,5.968636827185533,3.8500543820107485,6.53562824429239,0.37947804503207566,1.1305948155017445
DUBale,-28.708001488176183,8.361298055690098,4.83747897940936,9.719997017515016,0.44389973502145924,1.1680002943310388,DUBale,-31.4909591035952,8.301498101257545,2.4698242957116925,5.478878610309083,0.47303578600520213,1.2442860039798185
DUPodi,-28.373331800761406,9.153110557599213,4.121982273281927,6.029231492786678,0.44782982157136586,1.2034354534448424,DUPodi,-24.863429644035882,9.58218364349158,2.443958079517839,5.1419917178600745,0.4289254881938182,1.2817999260313147
DURsop,-25.861070022706194,8.539711784980522,2.793425618524725,6.15212218848081,0.5383295759892833,1.295217560228487,DURsop,-25.832387559186568,9.070540722961828,2.4527676945960786,6.406274144406483,0.5133907532706914,1.0204208374677661
FELale,-29.84539238458492,6.815965390938592,3.6808831096020307,4.786597814765756,0.4184208111646957,1.2513452706741488,FELale,-25.136272164923938,7.399093498834466,2.9700476430930465,5.476174932180752,0.4204086592999188,1.3919545370001236
GALale,-29.25298861061498,8.372955876313846,4.872173523371765,6.992597221422028,0.4597132952857062,1.4078300137932307,GALale,-32.485035518248246,8.24069860145155,5.1657555477978,4.399925790610263,0.4535408383172554,1.1341395172122566
